Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,02/01/2020 23:33,9074,294,215
Zhejiang,Mainland China,02/02/2020 02:13,661,0,23
Guangdong,Mainland China,02/02/2020 01:23,604,0,14
Henan,Mainland China,02/02/2020 00:53,493,2,4
Hunan,Mainland China,02/02/2020 01:53,463,0,8
Anhui,Mainland China,02/02/2020 01:33,340,0,5
Jiangxi,Mainland China,02/02/2020 01:23,333,0,10
Chongqing,Mainland China,02/01/2020 23:43,262,1,3
Jiangsu,Mainland China,02/02/2020 01:13,236,0,6
Sichuan,Mainland China,02/02/2020 01:03,231,1,3
Shandong,Mainland China,02/02/2020 01:03,225,0,5
Beijing,Mainland China,02/02/2020 03:05,183,1,9
Shanghai,Mainland China,02/02/2020 00:23,177,1,10
Fujian,Mainland China,02/02/2020 03:43,159,0,0
Shaanxi,Mainland China,02/02/2020 03:23,116,0,0
Guangxi,Mainland China,02/02/2020 00:23,111,0,2
Hebei,Mainland China,02/02/2020 02:53,104,1,3
Heilongjiang,Mainland China,02/02/2020 03:23,95,2,2
Yunnan,Mainland China,02/01/2020 15:53,93,0,2
Liaoning,Mainland China,02/01/2020 15:23,64,0,1
Hainan,Mainland China,02/02/2020 01:03,63,1,1
Shanxi,Mainland China,02/01/2020 23:33,56,0,1
Tianjin,Mainland China,02/02/2020 02:03,45,0,0
Gansu,Mainland China,02/01/2020 15:43,40,0,0
Guizhou,Mainland China,02/02/2020 01:03,38,0,2
Ningxia,Mainland China,02/02/2020 01:43,28,0,0
Inner Mongolia,Mainland China,02/02/2020 03:43,27,0,1
Jilin,Mainland China,02/02/2020 02:33,23,0,1
Xinjiang,Mainland China,02/02/2020 00:43,21,0,0
,Japan,02/01/2020 18:53,20,0,1
,Thailand,1/31/2020 10:37,19,0,5
,Singapore,02/02/2020 01:03,18,0,0
,South Korea,02/02/2020 02:23,15,0,0
Hong Kong,Hong Kong,02/02/2020 01:03,14,0,0
Taiwan,Taiwan,1/31/2020 15:20,10,0,0
Qinghai,Mainland China,02/01/2020 05:37,9,0,0
,Germany,02/01/2020 23:33,8,0,0
,Malaysia,1/31/2020 8:15,8,0,0
Macau,Macau,1/31/2020 8:15,7,0,0
,France,02/01/2020 01:52,6,0,0
,Vietnam,02/01/2020 07:38,6,0,1
New South Wales,Australia,02/01/2020 18:12,4,0,2
Victoria,Australia,02/01/2020 18:12,4,0,0
,United Arab Emirates,1/31/2020 8:15,4,0,0
Queensland,Australia,02/01/2020 18:12,3,0,0
Ontario,Canada,02/01/2020 18:12,3,0,0
,Italy,1/31/2020 8:15,2,0,0
,Philippines,02/02/2020 03:33,2,1,0
,Russia,1/31/2020 16:13,2,0,0
,UK,02/01/2020 01:52,2,0,0
"Chicago, IL",US,02/01/2020 19:43,2,0,0
South Australia,Australia,02/01/2020 18:12,1,0,0
,Cambodia,1/31/2020 8:15,1,0,0
British Columbia,Canada,02/01/2020 18:12,1,0,0
,Finland,1/31/2020 8:15,1,0,0
,India,1/31/2020 8:15,1,0,0
Tibet,Mainland China,02/01/2020 01:52,1,0,0
,Nepal,1/31/2020 8:15,1,0,0
,Spain,02/01/2020 23:43,1,0,0
,Sri Lanka,1/31/2020 8:15,1,0,0
,Sweden,02/01/2020 02:13,1,0,0
"Boston, MA",US,02/01/2020 19:43,1,0,0
"Los Angeles, CA",US,02/01/2020 19:53,1,0,0
"Orange, CA",US,02/01/2020 19:53,1,0,0
"Santa Clara, CA",US,02/01/2020 19:53,1,0,0
"Seattle, WA",US,02/01/2020 19:43,1,0,0
"Tempe, AZ",US,02/01/2020 19:43,1,0,0
