Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,02/02/2020 23:43,11177,350,295
Zhejiang,Mainland China,02/02/2020 18:03,661,0,32
Guangdong,Mainland China,02/02/2020 18:03,632,0,15
Henan,Mainland China,02/02/2020 18:03,493,2,10
Hunan,Mainland China,02/02/2020 18:03,463,0,16
Anhui,Mainland China,02/02/2020 18:03,340,0,7
Jiangxi,Mainland China,02/02/2020 18:03,333,0,12
Chongqing,Mainland China,02/02/2020 23:33,300,2,7
Jiangsu,Mainland China,02/02/2020 18:03,236,0,7
Sichuan,Mainland China,02/02/2020 18:03,231,1,11
Shandong,Mainland China,02/02/2020 18:03,230,0,6
Shanghai,Mainland China,02/03/2020 00:03,193,1,10
Beijing,Mainland China,02/02/2020 08:43,191,1,9
Fujian,Mainland China,02/02/2020 03:43,159,0,0
Guangxi,Mainland China,02/03/2020 00:13,127,0,2
Shaanxi,Mainland China,02/02/2020 03:23,116,0,0
Hebei,Mainland China,02/03/2020 00:23,113,1,3
Yunnan,Mainland China,02/02/2020 18:03,105,0,3
Heilongjiang,Mainland China,02/02/2020 03:23,95,2,2
Liaoning,Mainland China,02/02/2020 18:03,70,0,1
Shanxi,Mainland China,02/02/2020 23:23,66,0,3
Hainan,Mainland China,02/02/2020 18:03,64,1,4
Gansu,Mainland China,02/02/2020 23:43,51,0,3
Tianjin,Mainland China,02/02/2020 09:43,48,0,1
Guizhou,Mainland China,02/02/2020 01:03,38,0,2
Ningxia,Mainland China,02/02/2020 01:43,28,0,0
Inner Mongolia,Mainland China,02/02/2020 03:43,27,0,1
Jilin,Mainland China,02/02/2020 02:33,23,0,1
Xinjiang,Mainland China,02/02/2020 00:43,21,0,0
,Japan,02/01/2020 18:53,20,0,1
,Thailand,##########,19,0,5
,Singapore,02/02/2020 01:03,18,0,0
Hong Kong,Hong Kong,02/02/2020 23:53,15,0,0
,South Korea,02/02/2020 02:23,15,0,0
Qinghai,Mainland China,02/02/2020 05:33,11,0,0
,Germany,02/02/2020 18:03,10,0,0
Taiwan,Taiwan,##########,10,0,0
Macau,Macau,02/02/2020 04:23,8,0,0
,Malaysia,1/31/20 8:15,8,0,0
,France,02/01/2020 01:52,6,0,0
,Vietnam,02/01/2020 07:38,6,0,1
,United Arab Emirates,02/02/2020 05:43,5,0,0
New South Wales,Australia,02/01/2020 18:12,4,0,2
Victoria,Australia,02/01/2020 18:12,4,0,0
Ontario,Canada,02/01/2020 18:12,3,0,0
Queensland,Australia,02/02/2020 22:33,2,0,0
South Australia,Australia,02/02/2020 22:33,2,0,0
,India,02/02/2020 06:03,2,0,0
,Italy,1/31/20 8:15,2,0,0
,Philippines,02/02/2020 03:33,2,1,0
,Russia,##########,2,0,0
,UK,02/01/2020 01:52,2,0,0
"Chicago, IL",US,02/01/2020 19:43,2,0,0
,Cambodia,1/31/20 8:15,1,0,0
British Columbia,Canada,02/01/2020 18:12,1,0,0
,Finland,1/31/20 8:15,1,0,0
Tibet,Mainland China,02/01/2020 01:52,1,0,0
,Nepal,1/31/20 8:15,1,0,0
,Spain,02/01/2020 23:43,1,0,0
,Sri Lanka,1/31/20 8:15,1,0,0
,Sweden,02/01/2020 02:13,1,0,0
"Boston, MA",US,02/01/2020 19:43,1,0,0
"Los Angeles, CA",US,02/01/2020 19:53,1,0,0
"Orange, CA",US,02/01/2020 19:53,1,0,0
"Santa Clara, CA",US,02/01/2020 19:53,1,0,0
"Seattle, WA",US,02/01/2020 19:43,1,0,0
"Tempe, AZ",US,02/01/2020 19:43,1,0,0
